n	psi	word_length	word_length_increment	non2_total	non2_increment	leading_1	x=-1	x=-1/2	L(n)	x=0	R(n)	x=+1/2	x=+1
3	2	2	2	1	1	1	0	0	0	0	0	0	2
4	2	3	1	2	1	0	2	0	0	0	0	0	2
5	4	5	2	3	1	1	0	0	1	0	0	0	2
6	2	6	1	4	1	0	2	0	0	2	0	0	2
7	6	9	3	5	1	1	0	0	1	0	1	0	2
8	4	11	2	5	0	0	2	0	1	0	1	0	2
9	6	15	4	6	1	1	0	0	2	0	1	0	2
10	4	17	2	7	1	0	2	0	1	2	1	0	2
11	10	22	5	8	1	1	0	0	2	0	2	0	2
12	4	26	4	8	0	0	2	0	2	0	2	0	2
13	12	32	6	9	1	1	0	0	3	0	2	0	2
14	6	36	4	9	0	0	2	0	2	2	2	0	2
15	6	43	7	10	1	1	0	0	3	0	3	0	2
16	8	49	6	10	0	0	2	0	3	0	3	0	2
17	16	57	8	11	1	1	0	0	4	0	3	0	2
18	6	63	6	11	0	0	2	0	3	2	3	0	2
19	18	72	9	12	1	1	0	0	4	0	4	0	2
20	6	80	8	12	0	0	2	0	4	0	4	0	2
21	8	90	10	13	1	1	0	0	5	0	4	0	2
22	10	98	8	13	0	0	2	0	4	2	4	0	2
23	22	109	11	14	1	1	0	0	5	0	5	0	2
24	6	119	10	14	0	0	2	0	5	0	5	0	2
25	20	131	12	15	1	1	0	0	6	0	5	0	2
26	12	141	10	15	0	0	2	0	5	2	5	0	2
27	18	154	13	16	1	1	0	0	6	0	6	0	2
28	8	166	12	16	0	0	2	0	6	0	6	0	2
29	28	180	14	17	1	1	0	0	7	0	6	0	2
30	6	192	12	17	0	0	2	0	6	2	6	0	2
